Rank,Lambda,Mu,SineMSE_rad2,SineRMSE_rad,SineMeanAbsTorque_Nm,StepOvershoot_percent,StepSettlingTime_s,StepPeakTime_s,StepPenalty,OverallScore
1,1.1,0.8,0.0261613515990521,0.161744711193449,33441.2955458385,38.5954555642739,2.02131184468225,1.29633333333333,0.516288734791457,1.12907218369786
2,1,0.8,0.026430032193834,0.162573159512368,33398.921917004,38.6870508963176,2.01975302432492,1.29633333333333,0.524167039020851,1.14131189407012
3,1.1,0.9,0.0262085078840147,0.16189041937068,33287.8271400256,26.8727531358342,1.66814209593713,1.469,0.594679531872729,1.15047240011964
4,0.9,0.8,0.026696709026363,0.163391275857565,33358.0243142821,38.8016798668991,2.01818725354653,1.29633333333333,0.53487555174054,1.15418256410584
5,1,0.9,0.0264833769050405,0.162737140521273,33243.1441941257,26.9610446009541,1.66868316761554,1.46866666666667,0.582447139544356,1.15792098476703
6,0.9,0.9,0.0267559314525898,0.163572404312555,33199.7626296387,27.0673511203184,1.66894180432635,1.469,0.570074299511961,1.16524598830258
7,0.8,0.8,0.0269590417724149,0.164192088032325,33318.8806701582,38.939087399871,2.01653760734607,1.29633333333333,0.548426757762831,1.16759785769486
8,0.8,0.9,0.0270237009095522,0.16438887100273,33157.8344861003,27.1955345337771,1.66883562068348,1.46766666666667,0.552114676276589,1.17099138918072
9,0.7,0.9,0.0272844733437042,0.165180123936581,33117.7868661107,27.3402496829387,1.66824799510969,1.467,0.534715398970895,1.17660942006894
10,0.6,0.9,0.0275359449542166,0.165939582240696,33079.6585227902,27.4944050868826,1.66710139018557,1.46533333333333,0.515245758513042,1.18135434246568
11,0.7,0.8,0.0272144304829652,0.164967968051271,33281.668357678,39.0980949963923,2.01483424612551,1.296,0.565445910953553,1.18161470700775
12,0.6,0.8,0.0274608499050275,0.165713155497768,33246.4470249822,39.2756190539404,2.01281192736133,1.29533333333333,0.585370972587748,1.19601518843537
13,1.1,1,0.0264381049987287,0.162597985838474,33105.2352346313,19.6572660062922,1.65397694699846,1.75833333333333,3.60232636002537,1.91116030183737
14,1,1,0.0267181934389087,0.163457007922293,33058.7280407901,19.7354432203843,1.65159916464946,1.75733333333333,3.57614857900755,1.91532204808528
15,0.8,1,0.0272680346366327,0.165130356496414,32969.7519573212,19.9193327766833,1.64498470440537,1.75233333333333,3.49412002310421,1.91583221762434
16,0.9,1,0.026995757863923,0.164303858335472,33013.4810134658,19.8236307263082,1.64860102181106,1.755,3.53691786743205,1.91612408291834
17,0.7,1,0.027532542416732,0.165929329585616,32927.738745707,20.0177748140837,1.64080025696716,1.753,3.48029946250064,1.92248770876472
18,0.6,1,0.0277871963202685,0.166694919899403,32887.5373266026,20.1155182575051,1.63612754638163,1.75133333333333,3.44781458998519,1.92410046414912
19,0.6,1.1,0.0282256969724731,0.168005050437399,32687.154955482,19.4151496197768,2.04157485882672,1.75466666666667,3.69733295795127,2.0032414474833
20,1.1,1.1,0.0268611192270842,0.163893621679076,32913.3704445672,18.9792349869243,1.99601064733225,1.791,4.07525028499473,2.0455607163276
21,0.7,1.1,0.0279700519107968,0.167242494333219,32729.0640267389,19.3686393691291,2.16778021627342,1.76,4.03550790212812,2.07801332366361
22,1.1,0.7,0.0263116444732657,0.162208644878335,33601.1837801298,51.638805842241,2.3125751475547,1.27566666666667,4.49685600374668,2.12995884457155
23,1,0.7,0.0265733158362024,0.163013238223779,33562.1178736992,51.7469798002791,2.31254869582137,1.27566666666667,4.53713024342313,2.15002961565112
24,0.9,0.7,0.0268331817355391,0.163808368942307,33524.7350775021,51.8818006124886,2.3122628402067,1.27566666666667,4.5866730174443,2.17234850768986
25,0.8,0.7,0.0270889504207963,0.164587212203124,33489.3301019368,52.042342633464,2.31167118409319,1.275,4.64654298141074,2.19709258397328
26,0.8,1.1,0.0277031762087879,0.166442711491936,32772.7979610516,19.2908522448688,2.30412971736755,1.767,4.56333984141527,2.19977016497802
27,0.7,0.7,0.0273379581679173,0.165341943159978,33455.838926417,52.2273142302136,2.31050961560598,1.27466666666667,4.71342097660134,2.22333023576766
28,0.6,0.7,0.0275781396318369,0.16606667224894,33424.4118920101,52.4346644595378,2.30880033625228,1.27466666666667,4.7868760046905,2.25087476707106
29,0.9,1.1,0.0274275995521333,0.16561280008542,32818.2398837128,19.1959232581712,2.47322662643749,1.77466666666667,5.41661725504124,2.40255578676093
30,1,1.1,0.0271459415619437,0.164760254800555,32865.1081063609,19.0911566207359,2.69784704536656,1.782,6.87384907684828,2.75609755572102
31,1.1,0.6,0.026698445428745,0.16339658940365,33818.6798404339,64.4152793139033,2.85860680184387,1.27866666666667,14.1876307010829,4.56743772425001
32,1,0.6,0.0269523890774276,0.164171827904265,33784.8077649729,64.5557047632077,2.86081324005219,1.27866666666667,14.2941849684161,4.60378311558436
33,0.9,0.6,0.0272049916801087,0.164939357583655,33753.5365961171,64.7253219412339,2.86189884502356,1.27833333333333,14.4110561844501,4.64265648351603
34,0.8,0.6,0.0274540088591245,0.165692512984517,33724.7761608836,64.9254990954275,2.86219235480254,1.27766666666667,14.5421118336268,4.68493890933476
35,0.7,0.6,0.0276967897153853,0.166423525126063,33698.4618945035,65.1535137677958,2.86140515281807,1.27766666666667,14.6815741086159,4.72908461238021
36,0.6,0.6,0.0279310698934316,0.167125910299485,33674.4787043685,65.3995314230683,2.85953568170407,1.27766666666667,14.8247969972394,4.77384553614938
