Joint,Controller,Overshoot_percent,SettlingTime_s,PeakTime_s,Target_rad
1,PID,16.9696062101654,1.95725871436458,1.48,0.523598775598299
2,PID,88.4879022200869,NaN,1.614,0.523598775598299
3,PID,20.5914847468625,NaN,1.632,0.523598775598299
4,PID,6.98502437463466,1.93619458802971,1.668,0.523598775598299
5,PID,2.75816184593145,1.72309039005375,1.576,0.523598775598299
6,PID,0.642399764620016,1.31562480474426,2.934,0.523598775598299
1,FOPID,40.4323816946436,2.65555078264441,1.372,0.523598775598299
2,FOPID,104.933805111952,NaN,1.518,0.523598775598299
3,FOPID,29.4417288276902,NaN,1.562,0.523598775598299
4,FOPID,12.1848014811278,2.69987902973086,1.6,0.523598775598299
5,FOPID,28.7515331958644,1.79229100238072,1.178,0.523598775598299
6,FOPID,5.84915397303074,1.2945556324253,1.162,0.523598775598299
