Joint,Controller,Overshoot_percent,SettlingTime_s,PeakTime_s,Target_rad
1,GWO-PID,100.15420015982,NaN,1.824,0.523598775598299
2,GWO-PID,63.4389649310093,NaN,1.942,0.523598775598299
3,GWO-PID,44.9700676977709,NaN,1.974,0.523598775598299
4,GWO-PID,23.2846602199946,NaN,1.15,0.523598775598299
5,GWO-PID,36.6023298421691,NaN,1.138,0.523598775598299
6,GWO-PID,11.8962394987325,2.31920841865762,1.186,0.523598775598299
1,GWO-FOPID,84.6477496276352,NaN,2.054,0.523598775598299
2,GWO-FOPID,50.7178543168919,NaN,2.366,0.523598775598299
3,GWO-FOPID,32.4869287255537,NaN,2.444,0.523598775598299
4,GWO-FOPID,13.1008218815508,3.13972943677073,1.148,0.523598775598299
5,GWO-FOPID,21.9761386835388,3.10078991076757,1.108,0.523598775598299
6,GWO-FOPID,29.541686298344,1.25556638519847,1.116,0.523598775598299
